master_id,total_order,total_value,avg_order_value,cltv,cltv_score,cltv_segment
09797cba-5b4a-11ea-8975-000d3a38a36f,4.0,869.9300000000001,217.48250000000002,869.9300000000001,0.01798839601815259,B
1eb32dea-a409-11e9-a2fc-000d3a38a36f,3.0,271.96999999999997,90.65666666666665,271.96999999999997,0.004949616355125107,D
6925c836-ab8b-11e9-a2fc-000d3a38a36f,6.0,740.53,123.42166666666667,740.53,0.015166772350355821,B
c109302c-f72c-11ea-a533-000d3a38a36f,3.0,1447.99,482.66333333333336,1447.99,0.03059324746642617,A
c7cd4332-20bb-11ea-97c9-000d3a38a36f,4.0,538.61,134.6525,538.61,0.010763818324068931,C
d875bb04-4539-11ea-acaf-000d3a38a36f,7.0,865.89,123.69857142857143,865.89,0.01790030204892617,B
cc7a587e-3110-11ea-b884-000d3a38a36f,3.0,178.47,59.49,178.47,0.002910807908919558,D
e7fa4114-e7cc-11e9-8bb8-000d3a38a36f,6.0,404.93,67.48833333333333,404.92999999999995,0.00784886738194318,C
59fe5f5c-b1c2-11e9-89fa-000d3a38a36f,2.0,689.88,344.94,689.88,0.014062326919336452,B
92a334ee-58f2-11eb-9e65-000d3a38a36f,2.0,214.86,107.43,214.86,0.003704307795095173,D
12f0df54-accc-11e9-a2fc-000d3a38a36f,2.0,746.94,373.47,746.94,0.015306545207470023,B
a0133918-1d60-11ea-a490-000d3a38a36f,4.0,201.69,50.4225,201.69,0.0034171301775922087,D
5366d676-5403-11eb-9e65-000d3a38a36f,2.0,654.89,327.445,654.89,0.013299354646259105,B
07ddfcfe-2590-11ea-b1c8-000d3a38a36f,8.0,600.65,75.08125,600.65,0.012116627693080612,B
b4e68f92-a534-11e9-a2fc-000d3a38a36f,7.0,737.1,105.3,737.1,0.015091979698265074,B
fa4d1ac8-abd9-11e9-a2fc-000d3a38a36f,4.0,450.96000000000004,112.74000000000001,450.96000000000004,0.008852571689738275,C
6ece7c1c-4594-11ea-acaf-000d3a38a36f,3.0,280.76,93.58666666666666,280.76,0.005141286154506356,D
15fa60d6-9eb1-11e9-9897-000d3a38a36f,4.0,364.04,91.01,364.04,0.006957243025094572,C
83c57128-1eea-11ea-81ff-000d3a38a36f,7.0,1055.37,150.76714285714283,1055.37,0.022031996427397046,A
bb548d60-abb6-11e9-a2fc-000d3a38a36f,2.0,211.95999999999998,105.97999999999999,211.95999999999998,0.0036410720251059086,D
9e060288-2eed-11ea-8467-000d3a38a36f,4.0,384.90999999999997,96.22749999999999,384.90999999999997,0.007412322514637991,C
444de882-b067-11e9-9757-000d3a38a36f,9.0,694.87,77.20777777777778,694.87,0.01417113605459384,B
89cbf714-a6d0-11e9-a2fc-000d3a38a36f,6.0,710.89,118.48166666666667,710.89,0.0145204591701897,B
3af86bfe-5459-11ea-b1db-000d3a38a36f,4.0,1451.55,362.8875,1451.55,0.03067087482544747,A
9c5d4960-5bd8-11ea-9ccc-000d3a38a36f,5.0,524.36,104.872,524.36,0.01045309083360445,C
